topic_slug,question_text,option1,option2,option3,option4,correct_answer
aws,What is Amazon EC2?,Elastic Compute Cloud,Email Control Center,Enterprise Cloud Computing,External Cloud Connection,0
aws,Which storage class is best for infrequently accessed data?,Amazon S3 Standard-IA,Amazon S3 Standard,Amazon S3 One Zone,Amazon S3 Glacier,0
aws,What is the default timeout for AWS Lambda functions?,3 seconds,15 seconds,30 seconds,60 seconds,1
aws,Which AWS service is used for managed relational databases?,Amazon RDS,Amazon DynamoDB,Amazon Redshift,Amazon ElastiCache,0
aws,What is AWS CloudFormation used for?,Infrastructure as Code,Performance Monitoring,Log Analysis,Security Scanning,0
aws,Which service provides NoSQL database?,DynamoDB,RDS,Aurora,Redshift,0
aws,What is the maximum size of an S3 object?,5 TB,1 TB,500 GB,100 GB,0
aws,Which AWS service is used for content delivery?,CloudFront,Route 53,API Gateway,AppSync,0
aws,What is AWS IAM primarily used for?,Identity and Access Management,Internet Access Management,Infrastructure Asset Management,Instance Activity Monitoring,0
aws,Which service provides managed Kubernetes?,EKS,ECS,Fargate,Batch,0
aws,What is Amazon VPC?,Virtual Private Cloud,Virtual Process Control,Virtual Program Center,Virtual Package Container,0
aws,Which service is used for DNS management?,Route 53,CloudFront,Global Accelerator,Transit Gateway,0
aws,What is AWS Shield used for?,DDoS Protection,Firewall Management,Data Encryption,Access Control,0
aws,Which service provides serverless computing?,Lambda,EC2,ECS,Batch,0
aws,What is Amazon SNS?,Simple Notification Service,Simple Network Service,Secure Network System,System Notification Setup,0
aws,Which service provides managed Apache Kafka?,MSK,MQ,SQS,SNS,0
aws,What is AWS CloudWatch used for?,Monitoring and Observability,DNS Management,Load Balancing,Access Control,0
aws,Which service provides managed Elasticsearch?,OpenSearch Service,Elasticsearch,ElastiCache,Neptune,0
aws,What is AWS WAF?,Web Application Firewall,Website Access Framework,Web Analysis Function,Web Authentication Filter,0
aws,Which service provides managed Redis?,ElastiCache,DynamoDB,RDS,Neptune,0
aws,What is Amazon SQS?,Simple Queue Service,Simple Query Service,System Query Setup,Service Query System,0
aws,Which storage service is most cost-effective for archival?,Glacier,S3 Standard,EBS,EFS,0
aws,What is AWS Organizations used for?,Multi-account Management,Database Organization,Network Organization,Resource Organization,0
aws,Which service provides managed MongoDB?,DocumentDB,DynamoDB,RDS,Neptune,0
aws,What is AWS KMS used for?,Key Management Service,Kubernetes Management System,Knowledge Management Service,Kinesis Management Service,0
aws,Which service provides container registry?,ECR,ECS,EKS,App Runner,0
aws,What is Amazon Cognito used for?,User Authentication and Authorization,Content Delivery,Database Management,Network Security,0
aws,Which service provides managed Apache Cassandra?,Keyspaces,DynamoDB,DocumentDB,Neptune,0
aws,What is AWS Config used for?,Resource Configuration Tracking,Network Configuration,Security Configuration,Database Configuration,0
aws,Which service provides API management?,API Gateway,AppSync,AppMesh,App Runner,0
aws,What is AWS Direct Connect?,Dedicated Network Connection,Database Connection,Direct Storage Access,Domain Controller,0
